"EnsemblGene","gene","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","femHealthy_mean","maleHealthy_mean","femICU_mean","maleICU_mean","femSevere_mean","maleSevere_mean","femSevereHealthy_FoldChange","maleSevereHealthy_FoldChange","femICUhealthy_FoldChange","maleICUhealthy_FoldChange"
"ENSG00000107984","DKK1","This gene encodes a member of the dickkopf family of proteins. Members of this family are secreted proteins characterized by two cysteine-rich domains that mediate protein-protein interactions. The encoded protein binds to the LRP6 co-receptor and inhibits beta-catenin-dependent Wnt signaling. This gene plays a role in embryonic development and may be important in bone formation in adults. Elevated expression of this gene has been observed in numerous human cancers and this protein may promote proliferation, invasion and growth in cancer cell lines. [provided by RefSeq, Sep 2017]","                                            DKK1 (Dickkopf WNT Signaling Pathway Inhibitor 1) is a Protein Coding gene.                                            Diseases associated with DKK1 include Chiari Malformation Type I and Osteoporosis, Juvenile.                                            Among its related pathways are Regulation of Wnt-mediated beta catenin signaling and target gene transcription and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include obsolete signal transducer activity and low-density lipoprotein particle receptor binding.                                            ","Antagonizes canonical Wnt signaling by inhibiting LRP5/6 interaction with Wnt and by forming a ternary complex with the transmembrane protein KREMEN that promotes internalization of LRP5/6 (PubMed:22000856). DKKs play an important role in vertebrate development, where they locally inhibit Wnt regulated processes such as antero-posterior axial patterning, limb development, somitogenesis and eye formation. In the adult, Dkks are implicated in bone formation and bone disease, cancer and Alzheimer disease (PubMed:17143291). Inhibits the pro-apoptotic function of KREMEN1 in a Wnt-independent manner, and has anti-apoptotic activity (By similarity).
                         DKK1_HUMAN,O94907
                         ",0.111111111111111,0.125,8.5,2.5,7.33333333333333,0.8,66,6.4,76.5,20
"ENSG00000109472","CPE","This gene encodes a member of the M14 family of metallocarboxypeptidases. The encoded preproprotein is proteolytically processed to generate the mature peptidase. This peripheral membrane protein cleaves C-terminal amino acid residues and is involved in the biosynthesis of peptide hormones and neurotransmitters, including insulin. This protein may also function independently of its peptidase activity, as a neurotrophic factor that promotes neuronal survival, and as a sorting receptor that binds to regulated secretory pathway proteins, including prohormones. Mutations in this gene are implicated in type 2 diabetes. [provided by RefSeq, Nov 2015]","                                            CPE (Carboxypeptidase E) is a Protein Coding gene.                                            Diseases associated with CPE include Hyperproinsulinemia and Insulinoma.                                            Among its related pathways are Metabolism of proteins and Allograft rejection.                                            Gene Ontology (GO) annotations related to this gene include cell adhesion molecule binding and carboxypeptidase activity.                                            An important paralog of this gene is CPN1.","Sorting receptor that directs prohormones to the regulated secretory pathway. Acts also as a prohormone processing enzyme in neuro/endocrine cells, removing dibasic residues from the C-terminal end of peptide hormone precursors after initial endoprotease cleavage.
                         CBPE_HUMAN,P16870
                         ",0.888888888888889,3.25,50.5,27.5,16,14.4,18,4.43076923076923,56.8125,8.46153846153846
"ENSG00000112077","RHAG","The protein encoded by this gene is erythrocyte-specific and is thought to be part of a membrane channel that transports ammonium and carbon dioxide across the blood cell membrane. The encoded protein appears to interact with Rh blood group antigens and Rh30 polypeptides. Defects in this gene are a cause of regulator type Rh-null hemolytic anemia (RHN), or Rh-deficiency syndrome.[provided by RefSeq, Mar 2009]","                                            RHAG (Rh Associated Glycoprotein) is a Protein Coding gene.                                            Diseases associated with RHAG include Overhydrated Hereditary Stomatocytosis and Rh-Null, Regulator Type.                                            Among its related pathways are O2/CO2 exchange in erythrocytes and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include ankyrin binding and ammonium transmembrane transporter activity.                                            An important paralog of this gene is RHCG.","Associated with rhesus blood group antigen expression (PubMed:19744193). May be part of an oligomeric complex which is likely to have a transport or channel function in the erythrocyte membrane (PubMed:11062476, PubMed:11861637). Involved in ammonia transport across the erythrocyte membrane (PubMed:21849667, PubMed:22012326). Seems to act in monovalent cation transport (PubMed:18931342, PubMed:21849667).
                         RHAG_HUMAN,Q02094
                         ",0.777777777777778,0.25,89.5,12,37,15,47.5714285714286,60,115.071428571429,48
"ENSG00000118160","SLC8A2","                                            SLC8A2 (Solute Carrier Family 8 Member A2) is a Protein Coding gene.                                            Diseases associated with SLC8A2 include Ischemia and Schnyder Corneal Dystrophy.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include calmodulin binding and calcium:sodium antiporter activity.                                            An important paralog of this gene is SLC8A3.","                                            SLC8A2 (Solute Carrier Family 8 Member A2) is a Protein Coding gene.                                            Diseases associated with SLC8A2 include Ischemia and Schnyder Corneal Dystrophy.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include calmodulin binding and calcium:sodium antiporter activity.                                            An important paralog of this gene is SLC8A3.","Mediates the electrogenic exchange of Ca(2+) against Na(+) ions across the cell membrane, and thereby contributes to the regulation of cytoplasmic Ca(2+) levels and Ca(2+)-dependent cellular processes. Contributes to cellular Ca(2+) homeostasis in excitable cells. Contributes to the rapid decrease of cytoplasmic Ca(2+) levels back to baseline after neuronal activation, and thereby contributes to modulate synaptic plasticity, learning and memory. Plays a role in regulating urinary Ca(2+) and Na(+) excretion.
                         NAC2_HUMAN,Q9UPR5
                         ",0.111111111111111,0.25,6.5,2,1.33333333333333,1.8,12,7.2,58.5,8
"ENSG00000124469","CEACAM8","                                            CEACAM8 (CEA Cell Adhesion Molecule 8) is a Protein Coding gene.                                            Diseases associated with CEACAM8 include Hemoglobinuria and Paroxysmal Nocturnal Hemoglobinuria.                                            Among its related pathways are Degradation of the extracellular matrix and Cell surface interactions at the vascular wall.                                                                                        An important paralog of this gene is CEACAM6.","                                            CEACAM8 (CEA Cell Adhesion Molecule 8) is a Protein Coding gene.                                            Diseases associated with CEACAM8 include Hemoglobinuria and Paroxysmal Nocturnal Hemoglobinuria.                                            Among its related pathways are Degradation of the extracellular matrix and Cell surface interactions at the vascular wall.                                                                                        An important paralog of this gene is CEACAM6.","Cell surface glycoprotein that plays a role in cell adhesion in a calcium-independent manner (PubMed:8776764, PubMed:2022629, PubMed:11590190). Mediates heterophilic cell adhesion with other carcinoembryonic antigen-related cell adhesion molecules, such as CEACAM6 (PubMed:8776764, PubMed:2022629, PubMed:11590190). Heterophilic interaction with CEACAM8 occurs in activated neutrophils (PubMed:8776764).
                         CEAM8_HUMAN,P31997
                         ",0.222222222222222,0.5,21,5,4.66666666666667,1.4,21,2.8,94.5,10
"ENSG00000124568","SLC17A1","                                            SLC17A1 (Solute Carrier Family 17 Member 1) is a Protein Coding gene.                                            Diseases associated with SLC17A1 include Gout and Hyperuricemia.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Uricosurics Pathway, Pharmacodynamics.                                            Gene Ontology (GO) annotations related to this gene include symporter activity and phosphate ion transmembrane transporter activity.                                            An important paralog of this gene is SLC17A2.","                                            SLC17A1 (Solute Carrier Family 17 Member 1) is a Protein Coding gene.                                            Diseases associated with SLC17A1 include Gout and Hyperuricemia.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Uricosurics Pathway, Pharmacodynamics.                                            Gene Ontology (GO) annotations related to this gene include symporter activity and phosphate ion transmembrane transporter activity.                                            An important paralog of this gene is SLC17A2.","Important for the resorption of phosphate by the kidney. May be involved in actively transporting phosphate into cells via Na(+) cotransport in the renal brush border membrane. Plays a role in urate transport in the kidney (PubMed:27906618).
                         NPT1_HUMAN,Q14916
                         ",3.33333333333333,2.25,0,3,3,1.8,0.9,0.8,-2.33333333333333,1.33333333333333
"ENSG00000133742","CA1","Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. This CA1 gene is closely linked to the CA2 and CA3 genes on chromosome 8. It encodes a cytosolic protein that is found at the highest level in erythrocytes. Allelic variants of this gene have been described in some populations. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Nov 2016]","                                            CA1 (Carbonic Anhydrase 1) is a Protein Coding gene.                                            Diseases associated with CA1 include Renal Tubular Acidosis and Transient Global Amnesia.                                            Among its related pathways are C-MYB transcription factor network and O2/CO2 exchange in erythrocytes.                                            Gene Ontology (GO) annotations related to this gene include carbonate dehydratase activity and hydro-lyase activity.                                            An important paralog of this gene is CA2.","Reversible hydration of carbon dioxide. Can hydrates cyanamide to urea.
                         CAH1_HUMAN,P00915
                         ",22.3333333333333,1.375,4596,217,1116.66666666667,713.2,50,518.690909090909,205.791044776119,157.818181818182
"ENSG00000137869","CYP19A1","This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and catalyzes the last steps of estrogen biosynthesis. Mutations in this gene can result in either increased or decreased aromatase activity; the associated phenotypes suggest that estrogen functions both as a sex steroid hormone and in growth or differentiation. Alternative promoter use and alternative splicing results in multiple transcript variants that have different tissue specificities. [provided by RefSeq, Dec 2016]","                                            CYP19A1 (Cytochrome P450 Family 19 Subfamily A Member 1) is a Protein Coding gene.                                            Diseases associated with CYP19A1 include Aromatase Deficiency and Aromatase Excess Syndrome.                                            Among its related pathways are Cytochrome P450 - arranged by substrate type and Androstenedione and testosterone biosynthesis and metabolism p.1.                                            Gene Ontology (GO) annotations related to this gene include iron ion binding and electron transfer activity.                                            An important paralog of this gene is CYP4F3.","A cytochrome P450 monooxygenase that catalyzes the conversion of C19 androgens, androst-4-ene-3,17-dione (androstenedione) and testosterone to the C18 estrogens, estrone and estradiol, respectively (PubMed:27702664, PubMed:2848247). Catalyzes three successive oxidations of C19 androgens: two conventional oxidations at C19 yielding 19-hydroxy and 19-oxo/19-aldehyde derivatives, followed by a third oxidative aromatization step that involves C1-beta hydrogen abstraction combined with cleavage of the C10-C19 bond to yield a phenolic A ring and formic acid (PubMed:20385561). Alternatively, the third oxidative reaction yields a 19-norsteroid and formic acid. Converts dihydrotestosterone to delta1,10-dehydro 19-nordihydrotestosterone and may play a role in homeostasis of this potent androgen (PubMed:22773874). Also displays 2-hydroxylase activity toward estrone (PubMed:22773874). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:20385561, PubMed:22773874).
                         CP19A_HUMAN,P11511
                         ",1.22222222222222,0.75,76.5,39,37,24.8,30.2727272727273,33.0666666666667,62.5909090909091,52
"ENSG00000143416","SELENBP1","This gene encodes a member of the selenium-binding protein family. Selenium is an essential nutrient that exhibits potent anticarcinogenic properties, and deficiency of selenium may cause certain neurologic diseases. The effects of selenium in preventing cancer and neurologic diseases may be mediated by selenium-binding proteins, and decreased expression of this gene may be associated with several types of cancer. The encoded protein may play a selenium-dependent role in ubiquitination/deubiquitination-mediated protein degradation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Apr 2012]","                                            SELENBP1 (Selenium Binding Protein 1) is a Protein Coding gene.                                            Diseases associated with SELENBP1 include Extraoral Halitosis Due To Methanethiol Oxidase Deficiency and Posteroinferior Myocardial Infarction.                                            Among its related pathways are IL1 and megakaryocytes in obesity and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include selenium binding.                                            ","Catalyzes the oxidation of methanethiol, an organosulfur compound known to be produced in substantial amounts by gut bacteria (PubMed:29255262). Selenium-binding protein which may be involved in the sensing of reactive xenobiotics in the cytoplasm. May be involved in intra-Golgi protein transport (By similarity).
                         SBP1_HUMAN,Q13228
                         ",13.7777777777778,2.375,2022,77.5,215.333333333333,412.8,15.6290322580645,173.810526315789,146.758064516129,32.6315789473684
"ENSG00000146250","PRSS35","                                            PRSS35 (Serine Protease 35) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase activity.                                            An important paralog of this gene is PRSS23.","                                            PRSS35 (Serine Protease 35) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase activity.                                            An important paralog of this gene is PRSS23.","no summary",6.22222222222222,11,0,0,0,2,-5.22222222222222,0.181818181818182,-5.22222222222222,-10
"ENSG00000157150","TIMP4","This gene belongs to the TIMP gene family. The proteins encoded by this gene family are inhibitors of the matrix metalloproteinases, a group of peptidases involved in degradation of the extracellular matrix. The secreted, netrin domain-containing protein encoded by this gene is involved in regulation of platelet aggregation and recruitment and may play role in hormonal regulation and endometrial tissue remodeling. [provided by RefSeq, Jul 2008]","                                            TIMP4 (TIMP Metallopeptidase Inhibitor 4) is a Protein Coding gene.                                            Diseases associated with TIMP4 include Corneal Neovascularization and Rheumatic Heart Disease.                                            Among its related pathways are NF-KappaB Family Pathway and Activation of cAMP-Dependent PKA.                                            Gene Ontology (GO) annotations related to this gene include protease binding and metalloendopeptidase inhibitor activity.                                            An important paralog of this gene is TIMP2.","Complexes with metalloproteinases (such as collagenases) and irreversibly inactivates them by binding to their catalytic zinc cofactor. Known to act on MMP-1, MMP-2, MMP-3, MMP-7 and MMP-9.
                         TIMP4_HUMAN,Q99727
                         ",0.111111111111111,0.375,10.5,4.5,13.6666666666667,5.8,123,15.4666666666667,94.5,12
"ENSG00000158578","ALAS2","The product of this gene specifies an erythroid-specific mitochondrially located enzyme. The encoded protein catalyzes the first step in the heme biosynthetic pathway. Defects in this gene cause X-linked pyridoxine-responsive sideroblastic anemia. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","                                            ALAS2 (5'-Aminolevulinate Synthase 2) is a Protein Coding gene.                                            Diseases associated with ALAS2 include Anemia, Sideroblastic, 1 and Protoporphyria, Erythropoietic, X-Linked.                                            Among its related pathways are Porphyrin and chlorophyll metabolism and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include pyridoxal phosphate binding and glycine binding.                                            An important paralog of this gene is ALAS1.","no summary",112.222222222222,7,18483,814,1966.66666666667,4037.6,17.5247524752475,576.8,164.7,116.285714285714
"ENSG00000163710","PCOLCE2","                                            PCOLCE2 (Procollagen C-Endopeptidase Enhancer 2) is a Protein Coding gene.                                            Diseases associated with PCOLCE2 include Fetal Akinesia Deformation Sequence 1.                                            Among its related pathways are Degradation of the extracellular matrix and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include heparin binding and metalloendopeptidase inhibitor activity.                                            An important paralog of this gene is PCOLCE.","                                            PCOLCE2 (Procollagen C-Endopeptidase Enhancer 2) is a Protein Coding gene.                                            Diseases associated with PCOLCE2 include Fetal Akinesia Deformation Sequence 1.                                            Among its related pathways are Degradation of the extracellular matrix and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include heparin binding and metalloendopeptidase inhibitor activity.                                            An important paralog of this gene is PCOLCE.","Binds to the C-terminal propeptide of types I and II procollagens and may enhance the cleavage of that propeptide by BMP1.
                         PCOC2_HUMAN,Q9UKZ9
                         ",0.333333333333333,0.375,18.5,23.5,2.66666666666667,3.4,8,9.06666666666667,55.5,62.6666666666667
